config,page_size,tlb_size,tlb_assoc,itlb_hit_rate,dtlb_hit_rate,page_faults,itlb_hits,itlb_misses,dtlb_hits,dtlb_misses
page_16kB,16kB,64,4,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
page_4kB,4kB,64,4,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
page_8kB,8kB,64,4,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
tlb_128,4kB,128,4,99.99989582322716,99.9971296049627,0,81591999,85,27765416,797
tlb_32,4kB,32,4,99.99988969518171,76.8439722046359,0,81591994,90,21336661,6429552
tlb_64,4kB,64,4,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
tlb_assoc_2,4kB,64,2,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
tlb_assoc_4,4kB,64,4,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
tlb_assoc_8,4kB,64,8,99.99989582322716,77.18010014545375,0,81591999,85,21429991,6336222
