config,page_size,tlb_size,tlb_assoc,itlb_hit_rate,dtlb_hit_rate,page_faults,itlb_hits,itlb_misses,dtlb_hits,dtlb_misses
page_4kB,4kB,64,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
page_8kB,8kB,64,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
page_16kB,16kB,64,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
tlb_32,4kB,32,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
tlb_64,4kB,64,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
tlb_128,4kB,128,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
tlb_assoc_2,4kB,64,2,99.97076090446268,99.8875847247479,0,174373,51,30211,34
tlb_assoc_4,4kB,64,4,99.97076090446268,99.8875847247479,0,174373,51,30211,34
tlb_assoc_8,4kB,64,8,99.97076090446268,99.8875847247479,0,174373,51,30211,34
