
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.94                       # Real time elapsed on the host (Second)
hostTickRate                                202253549                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4408268                       # Number of bytes of host memory used (Byte)
simInsts                                      1075131                       # Number of instructions simulated (Count)
simOps                                        1080826                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   217444                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     218595                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock              1667                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles              599881                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  0.557900                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  1.792437                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded            1102884                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded          118                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued           1098493                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsIssued           96                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined        22065                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined        15245                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved           71                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.numIssuedDist::samples       590026                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     1.861770                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.795446                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0       174572     29.59%     29.59% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1       141601     24.00%     53.59% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2        60011     10.17%     63.76% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3       104843     17.77%     81.53% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4        53012      8.98%     90.51% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5        39890      6.76%     97.27% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6         7638      1.29%     98.57% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7         2657      0.45%     99.02% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8         5802      0.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total       590026                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu         1872      9.56%      9.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult         4370     22.32%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv            0      0.00%     31.88% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc            2      0.01%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatSqrt            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAdd            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAddAcc            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAlu            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCmp            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCvt            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMisc            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMult            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMultAcc            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMatMultAcc            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShift            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     31.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%     31.89% # attempts to use FU when none available (Count)
